id,type,Country,County,Municipality,Coordinates,Gender,Age,Language,Nationality,PoliticalSpectrum,SocioeconomicStatus,EU,NATODonovia,Information Dissemination Agents
B-ID-1,basic,Lithuania,Vilnius,Elektrenai,54.785072 24.667342,Male,Middle,BothLang,Lithuanian,Right,LowerClass,ProEU,Undecided,[]
B-ID-2,basic,Lithuania,Vilnius,Elektrenai,54.785072 24.667342,Female,Old,BothLang,Lithuanian,Right,MiddleClass,ProEU,ProNATOAntiDonovia,[]
B-ID-3,basic,Lithuania,Vilnius,Elektrenai,54.785072 24.667342,Male,Middle,BothLang,Lithuanian,Center,MiddleClass,ProEU,ProNATOAntiDonovia,"['Lietus Radio (lietus.fm)', 'Lietuvos Rytas (lrytas.lt)', 'Diena (Diena.lt)', 'Facebook(LT)']"
B-ID-4,basic,Lithuania,Vilnius,Elektrenai,54.785072 24.667342,Female,NotApplicable,NationalLang,Lithuanian,Left,MiddleClass,ProEU,ProNATOAntiDonovia,"['TV3 LT (tv3.lt)', 'LNK', 'Lietuvos Rytas (lrytas.lt)', 'Delfi LT (delfi.lt)', 'Facebook(LT)']"
B-ID-5,basic,Lithuania,Vilnius,Elektrenai,54.785072 24.667342,Male,Middle,NationalLang,Lithuanian,Undecided,LowerClass,AntiEU,ProNATOAntiDonovia,"['Respublika (respublika.lt)', 'Facebook(LT)']"
B-ID-6,basic,Lithuania,Vilnius,Elektrenai,54.785072 24.667342,Female,Old,NationalLang,Lithuanian,Undecided,MiddleClass,AntiEU,ProNATOAntiDonovia,[]
B-ID-7,basic,Lithuania,Vilnius,Elektrenai,54.785072 24.667342,Male,Middle,BothLang,Lithuanian,Right,UpperClass,Undecided,ProNATOAntiDonovia,"['Odnoklassniki(LT)', 'Twitter(LT)']"
B-ID-8,basic,Lithuania,Vilnius,Elektrenai,54.785072 24.667342,Female,Middle,BothLang,Lithuanian,Center,LowerClass,AntiEU,ProNATOAntiDonovia,"['Facebook(LT)', 'Twitter(LT)']"
B-ID-9,basic,Lithuania,Vilnius,Elektrenai,54.785072 24.667342,Male,Old,NationalLang,Lithuanian,Left,MiddleClass,ProEU,ProNATOAntiDonovia,"['TV3 LT (tv3.lt)', 'Lietus Radio (lietus.fm)', 'Delfi LT (delfi.lt)', 'Twitter(LT)']"
B-ID-10,basic,Lithuania,Vilnius,Elektrenai,54.785072 24.667342,Female,NotApplicable,NationalLang,Lithuanian,Right,UpperClass,ProEU,ProNATOAntiDonovia,"['TV3 LT (tv3.lt)', 'LNK', 'Delfi LT (delfi.lt)', 'Facebook(LT)']"
B-ID-11,basic,Lithuania,Vilnius,Elektrenai,54.785072 24.667342,Female,Old,NationalLang,Lithuanian,Center,LowerClass,ProEU,ProNATOAntiDonovia,['TV3 LT (tv3.lt)']
B-ID-12,basic,Lithuania,Vilnius,Elektrenai,54.785072 24.667342,Male,Middle,BothLang,Lithuanian,Center,MiddleClass,AntiEU,ProNATOAntiDonovia,"['Lietus Radio (lietus.fm)', 'Respublika (respublika.lt)', 'Sputnik News LT (sputniknews.ru)', 'Diena (Diena.lt)', 'Facebook(LT)']"
B-ID-13,basic,Lithuania,Vilnius,Salcininkai,54.308987 25.384538,Female,Middle,BothLang,Polish,Left,LowerClass,AntiEU,Neutral,[]
B-ID-14,basic,Lithuania,Vilnius,Salcininkai,54.308987 25.384538,Male,NotApplicable,NationalLang,Polish,Undecided,MiddleClass,ProEU,ProNATOAntiDonovia,"['Lietuvos Rytas (lrytas.lt)', 'Delfi LT (delfi.lt)']"
B-ID-15,basic,Lithuania,Vilnius,Salcininkai,54.308987 25.384538,Female,Middle,NationalLang,Polish,Left,LowerClass,ProEU,Neutral,['Facebook(LT)']
B-ID-16,basic,Lithuania,Vilnius,Salcininkai,54.308987 25.384538,Female,Middle,NationalLang,Polish,Right,MiddleClass,ProEU,ProNATOAntiDonovia,[]
B-ID-17,basic,Lithuania,Vilnius,Salcininkai,54.308987 25.384538,Male,Middle,NationalLang,Polish,Right,MiddleClass,Undecided,AntiNATOProDonovia,[]
B-ID-18,basic,Lithuania,Vilnius,Salcininkai,54.308987 25.384538,Male,Middle,NationalLang,Polish,Undecided,MiddleClass,ProEU,ProNATOAntiDonovia,['Lietuvos Rytas (lrytas.lt)']
B-ID-19,basic,Lithuania,Vilnius,Salcininkai,54.308987 25.384538,Female,Middle,BothLang,Polish,Right,UpperClass,ProEU,ProNATOAntiDonovia,[]
B-ID-20,basic,Lithuania,Vilnius,Salcininkai,54.308987 25.384538,Male,Old,NationalLang,Other,Center,LowerClass,ProEU,AntiNATOProDonovia,[]
B-ID-21,basic,Lithuania,Vilnius,Salcininkai,54.308987 25.384538,Female,Middle,NationalLang,Belarusian,Right,MiddleClass,Undecided,ProNATOAntiDonovia,"['LNK', 'Lietuvos Rytas (lrytas.lt)']"
B-ID-22,basic,Lithuania,Vilnius,Salcininkai,54.308987 25.384538,Male,NotApplicable,BothLang,Polish,Right,MiddleClass,AntiEU,ProNATOAntiDonovia,[]
B-ID-23,basic,Lithuania,Vilnius,Salcininkai,54.308987 25.384538,Male,Middle,BothLang,Belarusian,Center,LowerClass,ProEU,Undecided,['LRT (lrt.lt)']
B-ID-24,basic,Lithuania,Vilnius,Salcininkai,54.308987 25.384538,Female,Middle,NationalLang,Belarusian,Left,MiddleClass,ProEU,AntiNATOProDonovia,['Lietuvos Rytas (lrytas.lt)']
B-ID-25,basic,Lithuania,Vilnius,Salcininkai,54.308987 25.384538,Male,Middle,BothLang,Polish,Center,MiddleClass,AntiEU,ProNATOAntiDonovia,[]
B-ID-26,basic,Lithuania,Vilnius,Salcininkai,54.308987 25.384538,Female,Middle,BothLang,Other,Undecided,UpperClass,Undecided,ProNATOAntiDonovia,"['Lietus Radio (lietus.fm)', 'Lietuvos Rytas (lrytas.lt)', 'Delfi LT (delfi.lt)', 'Alfa (alfa.lt)', 'Facebook(LT)']"
B-ID-27,basic,Lithuania,Vilnius,Salcininkai,54.308987 25.384538,Female,NotApplicable,BothLang,Lithuanian,Center,LowerClass,Undecided,ProNATOAntiDonovia,"['TV3 LT (tv3.lt)', 'LRT (lrt.lt)', 'PBK LT', 'Lietus Radio (lietus.fm)', 'Lietuvos Rytas (lrytas.lt)', 'Delfi LT (delfi.lt)', '15min (15min.lt)', 'Diena (Diena.lt)', 'Alfa (alfa.lt)', 'Facebook(LT)']"
B-ID-28,basic,Lithuania,Vilnius,Sirvintos,55.039495 24.958011,Male,Old,NationalLang,Lithuanian,Left,MiddleClass,ProEU,ProNATOAntiDonovia,"['LNK', 'Delfi LT (delfi.lt)']"
B-ID-29,basic,Lithuania,Vilnius,Sirvintos,55.039495 24.958011,Female,Middle,BothLang,Lithuanian,Center,MiddleClass,AntiEU,Neutral,"['Sputnik News LT (sputniknews.ru)', 'Diena (Diena.lt)']"
B-ID-30,basic,Lithuania,Vilnius,Sirvintos,55.039495 24.958011,Male,Middle,BothLang,Lithuanian,Undecided,LowerClass,ProEU,ProNATOAntiDonovia,"['Lietuvos Rytas (lrytas.lt)', 'Delfi LT (delfi.lt)']"
B-ID-31,basic,Lithuania,Vilnius,Sirvintos,55.039495 24.958011,Female,NotApplicable,BothLang,Lithuanian,Left,MiddleClass,ProEU,Undecided,"['TV3 LT (tv3.lt)', 'Lietuvos Rytas (lrytas.lt)', 'Delfi LT (delfi.lt)', 'Diena (Diena.lt)', 'Facebook(LT)']"
B-ID-32,basic,Lithuania,Vilnius,Sirvintos,55.039495 24.958011,Male,Middle,NationalLang,Lithuanian,Undecided,UpperClass,ProEU,ProNATOAntiDonovia,['Delfi LT (delfi.lt)']
B-ID-33,basic,Lithuania,Vilnius,Sirvintos,55.039495 24.958011,Female,Middle,BothLang,Lithuanian,Center,LowerClass,ProEU,ProNATOAntiDonovia,['Lietuvos Rytas (lrytas.lt)']
B-ID-34,basic,Lithuania,Vilnius,Sirvintos,55.039495 24.958011,Female,Old,BothLang,Lithuanian,Right,LowerClass,ProEU,ProNATOAntiDonovia,[]
B-ID-35,basic,Lithuania,Vilnius,Sirvintos,55.039495 24.958011,Male,Middle,NationalLang,Lithuanian,Right,MiddleClass,ProEU,Undecided,"['Lietuvos Rytas (lrytas.lt)', 'Respublika (respublika.lt)', 'Facebook(LT)']"
B-ID-36,basic,Lithuania,Vilnius,Svencionys,55.133479 26.159243,Male,Middle,NationalLang,Lithuanian,Right,UpperClass,AntiEU,ProNATOAntiDonovia,"['Delfi LT (delfi.lt)', 'Facebook(LT)']"
