Type,Document ID,Information Source ID,Topic ID,IP-id,Stance
IPs,7750,LRT (lrt.lt),Great Synagogue of Vilna,IP-1,-3
IPs,4143,LRT (lrt.lt),COVID-19 pandemic in Lithuania,IP-2,2.33
IPs,4143,LRT (lrt.lt),COVID-19 pandemic in Lithuania,IP-3,3
IPs,4143,LRT (lrt.lt),COVID-19 pandemic in Lithuania,IP-4,3
IPs,7547,LRT (lrt.lt),Face masks during the COVID-19 pandemic in the United States,IP-5,3
IPs,7547,LRT (lrt.lt),Face masks during the COVID-19 pandemic in the United States,IP-6,-3
IPs,4582,LRT (lrt.lt),Belarusian involvement in the 2022 Donovian invasion of Ukraine,IP-7,3
IPs,4582,LRT (lrt.lt),Belarusian involvement in the 2022 Donovian invasion of Ukraine,IP-8,-2.33
IPs,4582,LRT (lrt.lt),Belarusian involvement in the 2022 Donovian invasion of Ukraine,IP-9,3
IPs,4582,LRT (lrt.lt),Belarusian involvement in the 2022 Donovian invasion of Ukraine,IP-10,-3
IPs,10040,Diena (Diena.lt),NATO military actions in Lithuania,IP-112,-2
IPs,10041,Diena (Diena.lt),NATO military actions in Lithuania,IP-113,-1
IPs,10041,Diena (Diena.lt),NATO military actions in Lithuania,IP-114,-1
IPs,10042,Diena (Diena.lt),NATO military actions in Lithuania,IP-115,0
IPs,10042,Diena (Diena.lt),NATO military actions in Lithuania,IP-116,0
IPs,10042,Diena (Diena.lt),NATO military actions in Lithuania,IP-117,0
IPs,10042,Diena (Diena.lt),NATO military actions in Lithuania,IP-118,0
IPs,10080,Kauno Diena (kauno.diena.lt),NATO military actions in Lithuania,IP-192,-1
IPs,10081,Kauno Diena (kauno.diena.lt),NATO military actions in Lithuania,IP-193,0
IPs,10082,Kauno Diena (kauno.diena.lt),NATO military actions in Lithuania,IP-194,1
IPs,10082,Kauno Diena (kauno.diena.lt),NATO military actions in Lithuania,IP-195,1
IPs,10082,Kauno Diena (kauno.diena.lt),NATO military actions in Lithuania,IP-196,1
IPs,10083,Kauno Diena (kauno.diena.lt),NATO military actions in Lithuania,IP-197,2
IPs,10083,Kauno Diena (kauno.diena.lt),NATO military actions in Lithuania,IP-198,2
IPs,10083,Kauno Diena (kauno.diena.lt),NATO military actions in Lithuania,IP-199,2
IPs,10120,15min (15min.lt),NATO military actions in Lithuania,IP-272,-2
IPs,10121,15min (15min.lt),NATO military actions in Lithuania,IP-273,-1
IPs,10122,15min (15min.lt),NATO military actions in Lithuania,IP-274,0
IPs,10122,15min (15min.lt),NATO military actions in Lithuania,IP-275,0
IPs,10122,15min (15min.lt),NATO military actions in Lithuania,IP-276,0
IPs,10122,15min (15min.lt),NATO military actions in Lithuania,IP-277,0
IPs,10122,15min (15min.lt),NATO military actions in Lithuania,IP-278,0
IPs,10123,15min (15min.lt),NATO military actions in Lithuania,IP-279,1
IPs,10126,15min (15min.lt),Donovian military actions in Lithuania,IP-283,-1
IPs,10143,L24 (l24.lt),NATO military actions in Lithuania,IP-342,-1
IPs,10144,L24 (l24.lt),NATO military actions in Lithuania,IP-343,0
IPs,10145,L24 (l24.lt),NATO military actions in Lithuania,IP-344,1
IPs,10145,L24 (l24.lt),NATO military actions in Lithuania,IP-345,1
IPs,10145,L24 (l24.lt),NATO military actions in Lithuania,IP-346,1
IPs,10146,L24 (l24.lt),NATO military actions in Lithuania,IP-347,2
IPs,10146,L24 (l24.lt),NATO military actions in Lithuania,IP-348,2
IPs,10148,L24 (l24.lt),Donovian military actions in Lithuania,IP-352,-3
IPs,10182,Delfi LT (delfi.lt),NATO military actions in Lithuania,IP-422,-1
IPs,10183,Delfi LT (delfi.lt),NATO military actions in Lithuania,IP-423,0
IPs,10183,Delfi LT (delfi.lt),NATO military actions in Lithuania,IP-424,0
IPs,10184,Delfi LT (delfi.lt),NATO military actions in Lithuania,IP-425,1
IPs,10184,Delfi LT (delfi.lt),NATO military actions in Lithuania,IP-426,1
IPs,10185,Delfi LT (delfi.lt),NATO military actions in Lithuania,IP-427,2
IPs,10185,Delfi LT (delfi.lt),NATO military actions in Lithuania,IP-428,2
IPs,10185,Delfi LT (delfi.lt),NATO military actions in Lithuania,IP-429,2
