Type,Document ID,Information Source ID,Topic ID,IP-id,Stance
IPs,7750,LRT (lrt.lt),Great Synagogue of Vilna,IP-1,-3
IPs,4143,LRT (lrt.lt),COVID-19 pandemic in Lithuania,IP-2,2.33
IPs,4143,LRT (lrt.lt),COVID-19 pandemic in Lithuania,IP-3,3
IPs,4143,LRT (lrt.lt),COVID-19 pandemic in Lithuania,IP-4,3
IPs,7547,LRT (lrt.lt),Face masks during the COVID-19 pandemic in the United States,IP-5,3
IPs,7547,LRT (lrt.lt),Face masks during the COVID-19 pandemic in the United States,IP-6,-3
IPs,4582,LRT (lrt.lt),Belarusian involvement in the 2022 Donovian invasion of Ukraine,IP-7,3
IPs,4582,LRT (lrt.lt),Belarusian involvement in the 2022 Donovian invasion of Ukraine,IP-8,-2.33
IPs,4582,LRT (lrt.lt),Belarusian involvement in the 2022 Donovian invasion of Ukraine,IP-9,3
IPs,4582,LRT (lrt.lt),Belarusian involvement in the 2022 Donovian invasion of Ukraine,IP-10,-3
IPs,4582,LRT (lrt.lt),Belarusian involvement in the 2022 Donovian invasion of Ukraine,IP-11,2.5
IPs,4582,LRT (lrt.lt),Belarusian involvement in the 2022 Donovian invasion of Ukraine,IP-12,3
IPs,4582,LRT (lrt.lt),Belarusian involvement in the 2022 Donovian invasion of Ukraine,IP-13,2.25
IPs,4582,LRT (lrt.lt),Belarusian involvement in the 2022 Donovian invasion of Ukraine,IP-14,-2.25
IPs,3756,LRT (lrt.lt),Belarusian involvement in the 2022 Donovian invasion of Ukraine,IP-15,3
IPs,3756,LRT (lrt.lt),Belarusian involvement in the 2022 Donovian invasion of Ukraine,IP-16,-3
IPs,3756,LRT (lrt.lt),Belarusian involvement in the 2022 Donovian invasion of Ukraine,IP-17,3
IPs,3756,LRT (lrt.lt),Belarusian involvement in the 2022 Donovian invasion of Ukraine,IP-18,3
IPs,5592,LRT (lrt.lt),Belarusian involvement in the 2022 Donovian invasion of Ukraine,IP-19,3
IPs,5592,LRT (lrt.lt),Belarusian involvement in the 2022 Donovian invasion of Ukraine,IP-20,-3
IPs,5592,LRT (lrt.lt),Belarusian involvement in the 2022 Donovian invasion of Ukraine,IP-21,3
IPs,5592,LRT (lrt.lt),Belarusian involvement in the 2022 Donovian invasion of Ukraine,IP-22,3
IPs,7918,LRT (lrt.lt),Great Synagogue of Vilna,IP-23,3
IPs,7918,LRT (lrt.lt),Great Synagogue of Vilna,IP-24,2
IPs,7227,LRT (lrt.lt),Great Synagogue of Vilna,IP-25,-2.5
IPs,7227,LRT (lrt.lt),Great Synagogue of Vilna,IP-26,-3
IPs,7227,LRT (lrt.lt),Great Synagogue of Vilna,IP-27,-2.67
IPs,7227,LRT (lrt.lt),Great Synagogue of Vilna,IP-28,-3
IPs,2773,LRT (lrt.lt),Great Synagogue of Vilna,IP-29,3
IPs,2773,LRT (lrt.lt),Great Synagogue of Vilna,IP-30,3
IPs,2773,LRT (lrt.lt),Great Synagogue of Vilna,IP-31,3
IPs,2773,LRT (lrt.lt),Great Synagogue of Vilna,IP-32,-3
IPs,2773,LRT (lrt.lt),Great Synagogue of Vilna,IP-33,3
IPs,2773,LRT (lrt.lt),Great Synagogue of Vilna,IP-34,-3
IPs,2773,LRT (lrt.lt),Great Synagogue of Vilna,IP-35,3
IPs,2773,LRT (lrt.lt),Great Synagogue of Vilna,IP-36,2.5
IPs,2773,LRT (lrt.lt),Great Synagogue of Vilna,IP-37,3
IPs,3491,LRT (lrt.lt),Belarusian involvement in the 2022 Donovian invasion of Ukraine,IP-38,-3
IPs,3491,LRT (lrt.lt),Belarusian involvement in the 2022 Donovian invasion of Ukraine,IP-39,3
IPs,3491,LRT (lrt.lt),Belarusian involvement in the 2022 Donovian invasion of Ukraine,IP-40,3
IPs,3491,LRT (lrt.lt),Belarusian involvement in the 2022 Donovian invasion of Ukraine,IP-41,2.33
IPs,10001,LRT (lrt.lt),NATO military actions in Lithuania,IP-42,-1
IPs,10002,LRT (lrt.lt),NATO military actions in Lithuania,IP-43,0
IPs,10002,LRT (lrt.lt),NATO military actions in Lithuania,IP-44,0
IPs,10003,LRT (lrt.lt),NATO military actions in Lithuania,IP-45,1
IPs,10003,LRT (lrt.lt),NATO military actions in Lithuania,IP-46,1
IPs,10004,LRT (lrt.lt),NATO military actions in Lithuania,IP-47,2
IPs,10004,LRT (lrt.lt),NATO military actions in Lithuania,IP-48,2
IPs,10004,LRT (lrt.lt),NATO military actions in Lithuania,IP-49,2
IPs,10005,LRT (lrt.lt),NATO military actions in Lithuania,IP-50,3
IPs,10005,LRT (lrt.lt),NATO military actions in Lithuania,IP-51,3
IPs,10006,LRT (lrt.lt),Donovian military actions in Lithuania,IP-52,-3
IPs,10006,LRT (lrt.lt),Donovian military actions in Lithuania,IP-53,-3
IPs,10007,LRT (lrt.lt),Donovian military actions in Lithuania,IP-54,-2
IPs,10007,LRT (lrt.lt),Donovian military actions in Lithuania,IP-55,-2
IPs,10007,LRT (lrt.lt),Donovian military actions in Lithuania,IP-56,-2
IPs,10008,LRT (lrt.lt),Donovian military actions in Lithuania,IP-57,-1
IPs,10008,LRT (lrt.lt),Donovian military actions in Lithuania,IP-58,-1
IPs,10009,LRT (lrt.lt),Donovian military actions in Lithuania,IP-59,0
IPs,10009,LRT (lrt.lt),Donovian military actions in Lithuania,IP-60,0
IPs,10010,LRT (lrt.lt),Donovian military actions in Lithuania,IP-61,1
