id,type
Lietuvos Rytas (lrytas.lt),information-diss-agents
TV3 LT (tv3.lt),information-diss-agents
LRT (lrt.lt),information-diss-agents
Baltijas Balss (bb.lv),information-diss-agents
Latvijas Avize (la.lv),information-diss-agents
Twitter(LV),information-diss-agents
Kauno Diena (kauno.diena.lt),information-diss-agents
Lietus Radio (lietus.fm),information-diss-agents
Ohtuleht (ohtuleht.ee),information-diss-agents
TVP1 (tvp.pl),information-diss-agents
Respublika (respublika.lt),information-diss-agents
Telegram,information-diss-agents
Facebook(PL),information-diss-agents
Facebook(LT),information-diss-agents
Facebook(EE),information-diss-agents
Interia (interia.pl),information-diss-agents
O2 (o2.pl),information-diss-agents
1st National Channel (tvr.by),information-diss-agents
Facebook(BY),information-diss-agents
LTV 1 (ltv1.lsm.lv),information-diss-agents
Vakaru Ekspresas (ve.lt),information-diss-agents
wPolityce (wpolityce.pl),information-diss-agents
Stena.ee,information-diss-agents
Elu 24 (elu24.ee),information-diss-agents
TNT (tnt-online.ru),information-diss-agents
Eesti Pavaleht(epl.delfi.ee),information-diss-agents
M!xnews (mixnews.lv),information-diss-agents
Press (press.lv),information-diss-agents
RUSRADIO (rusradio.lt),information-diss-agents
Twitter(EE),information-diss-agents
Postimees (postimees.ee),information-diss-agents
Belsat (Belsat.eu),information-diss-agents
Verslo Zinios (vz.lt),information-diss-agents
Twitter(BY),information-diss-agents
Vikerraadio (vikerradio.err.ee),information-diss-agents
Onet (Onet.pl),information-diss-agents
Belarus Segodnya (sb.by),information-diss-agents
Odnolassniki(EE),information-diss-agents
Radio ZET (radiozet.pl),information-diss-agents
Diena (Diena.lt),information-diss-agents
Wirtualna Polska (wp.pl),information-diss-agents
Sputnik News LT (sputniknews.ru),information-diss-agents
Fakt (fakt.pl),information-diss-agents
LSM (lsm.lv),information-diss-agents
RMF FM (rmf.fm),information-diss-agents
Niezalezna (niezalezna.pl),information-diss-agents
Do Rzeczy (dorzeczy.pl),information-diss-agents
Twitter(PL),information-diss-agents
TV3 LV (tv3.lv),information-diss-agents
PBK LV,information-diss-agents
VK(BY),information-diss-agents
Charter97.org,information-diss-agents
Neatkaringa Avize (nra.lv),information-diss-agents
KP.ru,information-diss-agents
LNK,information-diss-agents
VK(EE),information-diss-agents
Radio Skonto (radioskonto.lv),information-diss-agents
Draugiem,information-diss-agents
TVP Info (tvp.info),information-diss-agents
NashaNiva.com,information-diss-agents
PBK LT,information-diss-agents
TVNet (tvnet.lv),information-diss-agents
Odnoklassniki(PL),information-diss-agents
Delfi LT (delfi.lt),information-diss-agents
Belta (eng.belta.by),information-diss-agents
RuBaltic (rubaltic.ru),information-diss-agents
VK(LV),information-diss-agents
15min (15min.lt),information-diss-agents
Twitter(LT),information-diss-agents
Rzeczpospolita (rp.pl),information-diss-agents
Jauns.lv,information-diss-agents
RBC (rbc.ru),information-diss-agents
L24 (l24.lt),information-diss-agents
Channel One Russia (1tv.ru),information-diss-agents
Alfa (alfa.lt),information-diss-agents
Facebook(LV),information-diss-agents
Sputnik Belarus (sputnik.by),information-diss-agents
TVN24 (tvn24.pl),information-diss-agents
Lenta (lenta.ru),information-diss-agents
Meduza (meduza.io),information-diss-agents
KrytykaPolitczyna.pl,information-diss-agents
Delfi LV (delfi.lv),information-diss-agents
Sky Radio (sky.ee),information-diss-agents
Vesti Segodnya (ves.lv),information-diss-agents
Delfi EE (Delfi.ee),information-diss-agents
ONT (ont.by),information-diss-agents
ETV Plus (etvpluss.err.ee),information-diss-agents
Euroradio (euroradio.fm),information-diss-agents
VK(LT),information-diss-agents
Odnoklassniki(LV),information-diss-agents
Odnoklassniki(BY),information-diss-agents
Apollo (apollo.lv),information-diss-agents
Wprost (Wprost.eu),information-diss-agents
TV3 EE (tv3.ee),information-diss-agents
Gorod.lv (Daugapils ONLY),information-diss-agents
Radio Latvia 2 (lr2.lsm.lv),information-diss-agents
PBK EE,information-diss-agents
VK(PL),information-diss-agents
RIA Novosti (ria.ru),information-diss-agents
Odnoklassniki(LT),information-diss-agents
Onliner (onliner.by),information-diss-agents
Aripaev (aripaev.ee),information-diss-agents
Gazeta Wyborcza (wyborcza.pl),information-diss-agents
Argumenty i Fakty v Belarusi (aif.ru),information-diss-agents
