information_action_id,information_action_type,sending_agent_id,receiving_agent_id,information_packet_id,endorsed_agent_id,change_in_amplification,tick,simulation_id
InfoAct_id_129,refute,Bishop Ambrose of Trakai ROC,Tadas Maroscikas,IP-2,0,- 0.1,3,1
InfoAct_id_130,refute,B-ID-68,B-ID-38,IP-7,0,- 0.1,3,1
InfoAct_id_131,refute,Deacon Audrius Jesinskas ROC,Edvinas Regelskis,IP-2,0,- 0.1,3,1
InfoAct_id_132,amplify,Sergey Kuzhugetovich Shoygu,GEN Nikolai Yegorovich Makarov,IP-2,0,+ 0.1,3,1
InfoAct_id_133,refute,Sergey Kuzhugetovich Shoygu,GEN Alexey Fydorovich Maslov,IP-9,0,- 0.1,3,1
InfoAct_id_134,amplify,Sergey Kuzhugetovich Shoygu,GEN Alexey Fydorovich Maslov,IP-5,0,+ 0.1,3,1
InfoAct_id_135,amplify,Sergey Kuzhugetovich Shoygu,LTG Viktor Nikolaevich Samsonov,IP-7,0,+ 0.1,3,1
InfoAct_id_136,amplify,Paulius Keras,Sonata Patkauskait?,IP-5,0,+ 0.1,3,1
InfoAct_id_137,amplify,Paulius Keras,Audrius Ciuplys,IP-9,0,+ 0.1,3,1
InfoAct_id_138,amplify,B-ID-19,B-ID-71,IP-2,0,+ 0.1,3,1
InfoAct_id_139,amplify,Arvydas Giedraitis,MAJ Ganushevich Artem Romanovich,IP-5,0,+ 0.1,3,1
InfoAct_id_140,refute,Gabrielius Landsbergis,Gitanas Nauseda,IP-7,0,- 0.1,3,1
InfoAct_id_141,refute,B-ID-55,B-ID-32,IP-9,0,- 0.1,3,1
InfoAct_id_142,refute,GEN Alexey Fydorovich Maslov,MAJ Ganushevich Artem Romanovich,IP-2,0,- 0.1,3,1
InfoAct_id_143,refute,Ingrida Simonyte,Gabrielius Landsbergis,IP-3,0,- 0.1,3,1
InfoAct_id_144,refute,Edita Baniene,Gitanas Nauseda,IP-347,0,- 0.1,3,1
InfoAct_id_145,refute,Edita Baniene,Viktorija Smilyte-Nielsen,IP-7,0,- 0.1,3,1
InfoAct_id_146,amplify,Edvinas Regelskis,Gintare Guzevi?i?t?,IP-5,0,+ 0.1,3,1
InfoAct_id_147,refute,B-ID-6,B-ID-39,IP-2,0,- 0.1,3,1
InfoAct_id_148,amplify,B-ID-12,B-ID-38,IP-3,0,+ 0.1,3,1
InfoAct_id_149,refute,B-ID-56,B-ID-40,IP-3,0,- 0.1,3,1
InfoAct_id_150,amplify,Father James Karklys ROC,Father Vytenis Vaskelis ROC,IP-7,0,+ 0.1,3,1
InfoAct_id_151,refute,Father James Karklys ROC,Deacon Audrius Jesinskas ROC,IP-2,0,- 0.1,3,1
InfoAct_id_152,amplify,COL-GEN Alexander Zhuravlyov,Arvydas Sabonis,IP-7,0,+ 0.1,3,1
InfoAct_id_153,amplify,B-ID-23,B-ID-48,IP-7,0,+ 0.1,3,1
InfoAct_id_154,refute,Bishop K?stutis K?valas CATH,Karolina Meschino,IP-5,0,- 0.1,3,1
InfoAct_id_155,refute,Bishop K?stutis K?valas CATH,Deacon Audrius Jesinskas ROC,IP-3,0,- 0.1,3,1
InfoAct_id_156,amplify,Gitanas Nauseda,Gabrielius Landsbergis,IP-5,0,+ 0.1,3,1
InfoAct_id_157,amplify,Viktorija Smilyte-Nielsen,Sonata Patkauskait?,IP-199,0,+ 0.1,3,1
InfoAct_id_158,refute,GEN Vladimir Sergeyevich Mikhaylov,COL-GEN Victor Borisovich Astapov,IP-9,0,- 0.1,3,1
InfoAct_id_159,refute,B-ID-71,B-ID-30,IP-7,0,- 0.1,3,1
InfoAct_id_160,refute,B-ID-71,B-ID-74,IP-7,0,- 0.1,3,1
InfoAct_id_161,amplify,Andrius Tapinas,Deacon John Stankevicius,IP-199,0,+ 0.1,3,1
InfoAct_id_162,refute,LTG Viktor Nikolaevich Samsonov,COL-GEN Anatoly Alekseyevich Sidorov,IP-5,0,- 0.1,3,1
InfoAct_id_163,amplify,B-ID-8,B-ID-9,IP-5,0,+ 0.1,3,1
InfoAct_id_164,amplify,B-ID-8,B-ID-48,IP-7,0,+ 0.1,3,1
InfoAct_id_165,refute,LTC Lapin Denis Alexandrovich,Valdemar Tomasevski,IP-7,0,- 0.1,3,1
InfoAct_id_166,refute,Gintare Guzevi?i?t?,Viktorija Smilyte-Nielsen,IP-3,0,- 0.1,3,1
