information_action_type,sending_agent_id,receiving_agent_id,information_packet_id,endorsed_agent_id,change_in_amplification,tick,simulation_id
amplify,B-ID-31,B-ID-7,IP-35,0,+ 0.1,5,1
amplify,B-ID-31,B-ID-7,IP-35,0,+ 0.1,5,1
amplify,B-ID-31,B-ID-16,IP-35,0,+ 0.1,5,1
refute,B-ID-31,B-ID-16,IP-35,0,- 0.1,5,1
amplify,B-ID-31,B-ID-17,IP-35,0,+ 0.1,5,1
refute,B-ID-31,B-ID-25,IP-35,0,- 0.1,5,1
amplify,B-ID-31,B-ID-25,IP-35,0,+ 0.1,5,1
refute,B-ID-31,B-ID-41,IP-35,0,- 0.1,5,1
amplify,B-ID-31,B-ID-41,IP-35,0,+ 0.1,5,1
amplify,B-ID-31,B-ID-41,IP-35,0,+ 0.1,5,1
refute,B-ID-31,B-ID-41,IP-35,0,- 0.1,5,1
refute,B-ID-31,B-ID-76,IP-35,0,- 0.1,5,1
refute,B-ID-31,B-ID-76,IP-35,0,- 0.1,5,1
amplify,B-ID-31,B-ID-76,IP-35,0,+ 0.1,5,1
refute,B-ID-31,B-ID-76,IP-35,0,- 0.1,5,1
refute,B-ID-31,B-ID-80,IP-35,0,- 0.1,5,1
amplify,B-ID-31,B-ID-80,IP-35,0,+ 0.1,5,1
amplify,B-ID-31,B-ID-80,IP-35,0,+ 0.1,5,1
amplify,B-ID-31,B-ID-80,IP-35,0,+ 0.1,5,1
refute,B-ID-31,B-ID-80,IP-35,0,- 0.1,5,1
refute,B-ID-33,B-ID-30,IP-35,0,- 0.1,5,1
refute,B-ID-33,B-ID-35,IP-35,0,- 0.1,5,1
refute,B-ID-33,B-ID-38,IP-35,0,- 0.1,5,1
refute,B-ID-33,B-ID-43,IP-35,0,- 0.1,5,1
refute,B-ID-33,B-ID-57,IP-35,0,- 0.1,5,1
refute,B-ID-33,B-ID-57,IP-35,0,- 0.1,5,1
refute,B-ID-33,B-ID-59,IP-35,0,- 0.1,5,1
refute,B-ID-33,B-ID-59,IP-35,0,- 0.1,5,1
refute,B-ID-33,B-ID-68,IP-35,0,- 0.1,5,1
amplify,B-ID-33,B-ID-71,IP-35,0,+ 0.1,5,1
refute,B-ID-33,B-ID-71,IP-35,0,- 0.1,5,1
amplify,B-ID-33,B-ID-74,IP-35,0,+ 0.1,5,1
refute,B-ID-33,B-ID-82,IP-35,0,- 0.1,5,1
amplify,B-ID-33,Dalia Grybauskaite,IP-35,0,+ 0.1,5,1
amplify,B-ID-33,Dalia Grybauskaite,IP-35,0,+ 0.1,5,1
amplify,B-ID-49,B-ID-1,IP-35,0,+ 0.1,5,1
refute,B-ID-49,B-ID-6,IP-35,0,- 0.1,5,1
refute,B-ID-49,B-ID-9,IP-35,0,- 0.1,5,1
