information_action_id,information_action_type,sending_agent_id,receiving_agent_id,information_packet_id,endorsed_agent_id,change_in_amplification,tick,simulation_id
InfoAct_id_616,amplify,B-ID-75,B-ID-68,IP-4,0,+ 0.1,7,1
InfoAct_id_617,amplify,Tadas Maroscikas,Deacon Audrius Jesinskas ROC,IP-3,0,+ 0.1,7,1
InfoAct_id_618,amplify,LTC Lapin Denis Alexandrovich,COL Maximov Sergei Viktorovich,IP-3,0,+ 0.1,7,1
InfoAct_id_619,amplify,B-ID-76,Edvinas Regelskis,IP-4,0,+ 0.1,7,1
InfoAct_id_620,refute,B-ID-68,B-ID-1,IP-7,0,- 0.1,7,1
InfoAct_id_621,refute,B-ID-71,B-ID-10,IP-7,0,- 0.1,7,1
InfoAct_id_622,amplify,B-ID-13,B-ID-24,IP-5,0,+ 0.1,7,1
InfoAct_id_623,amplify,B-ID-26,B-ID-62,IP-7,0,+ 0.1,7,1
InfoAct_id_624,amplify,GEN Nikolai Yegorovich Makarov,LTG Viktor Nikolaevich Samsonov,IP-5,0,+ 0.1,7,1
InfoAct_id_625,amplify,GEN Nikolai Yegorovich Makarov,COL-GEN Victor Borisovich Astapov,IP-5,0,+ 0.1,7,1
InfoAct_id_626,amplify,B-ID-30,B-ID-33,IP-5,0,+ 0.1,7,1
InfoAct_id_627,amplify,B-ID-30,B-ID-42,IP-3,0,+ 0.1,7,1
InfoAct_id_628,amplify,B-ID-18,B-ID-13,IP-3,0,+ 0.1,7,1
InfoAct_id_629,amplify,B-ID-23,B-ID-2,IP-3,0,+ 0.1,7,1
InfoAct_id_630,refute,B-ID-7,B-ID-44,IP-5,0,- 0.1,7,1
InfoAct_id_631,amplify,COL Maximov Sergei Viktorovich,B-ID-98,IP-3,0,+ 0.1,7,1
InfoAct_id_632,refute,B-ID-10,B-ID-6,IP-4,0,- 0.1,7,1
InfoAct_id_633,refute,B-ID-10,B-ID-22,IP-7,0,- 0.1,7,1
InfoAct_id_634,amplify,B-ID-98,B-ID-100,IP-7,0,+ 0.1,7,1
