identity_action_id,agent_id,action,triad_id,change_in_stance,change_in_latitude,change_in_longitude,tick,simulation_id
Identity_Act_id_1,MG Arkady Vilktotovich Bakhin,UpdateStance,Triad_ID_25,-0.2,0,0,2,0
Identity_Act_id_2,MG Arkady Vilktotovich Bakhin,UpdateStance,Triad_ID_26,0.3,0,0,2,0
Identity_Act_id_3,MG Arkady Vilktotovich Bakhin,UpdateStance,Triad_ID_27,0.3,0,0,2,0
Identity_Act_id_4,MG Arkady Vilktotovich Bakhin,UpdateStance,Triad_ID_28,-0.2,0,0,2,0
Identity_Act_id_5,MG Arkady Vilktotovich Bakhin,UpdateStance,Triad_ID_29,-0.2,0,0,2,0
Identity_Act_id_6,MG Arkady Vilktotovich Bakhin,UpdateStance,Triad_ID_30,-0.2,0,0,2,0
Identity_Act_id_7,MG Arkady Vilktotovich Bakhin,UpdateStance,Triad_ID_31,-0.2,0,0,2,0
Identity_Act_id_8,MG Arkady Vilktotovich Bakhin,UpdateStance,Triad_ID_32,-0.2,0,0,2,0
Identity_Act_id_9,B-ID-33,UpdateStance,Triad_ID_49,-0.2,0,0,2,0
Identity_Act_id_10,B-ID-33,UpdateStance,Triad_ID_50,-0.2,0,0,2,0
Identity_Act_id_11,B-ID-33,UpdateStance,Triad_ID_51,0.3,0,0,2,0
Identity_Act_id_12,B-ID-33,UpdateStance,Triad_ID_52,-0.2,0,0,2,0
Identity_Act_id_13,B-ID-33,UpdateStance,Triad_ID_53,0.3,0,0,2,0
Identity_Act_id_14,B-ID-33,UpdateStance,Triad_ID_54,0.3,0,0,2,0
Identity_Act_id_15,B-ID-33,UpdateStance,Triad_ID_55,-0.2,0,0,2,0
Identity_Act_id_16,B-ID-33,UpdateStance,Triad_ID_56,0.3,0,0,2,0
Identity_Act_id_17,B-ID-53,UpdateStance,Triad_ID_121,0.3,0,0,2,0
Identity_Act_id_18,B-ID-53,UpdateStance,Triad_ID_122,-0.2,0,0,2,0
Identity_Act_id_19,B-ID-53,UpdateStance,Triad_ID_123,-0.2,0,0,2,0
Identity_Act_id_20,B-ID-53,UpdateStance,Triad_ID_124,0.3,0,0,2,0
Identity_Act_id_21,B-ID-53,UpdateStance,Triad_ID_125,0.3,0,0,2,0
Identity_Act_id_22,B-ID-53,UpdateStance,Triad_ID_126,0.3,0,0,2,0
Identity_Act_id_23,B-ID-53,UpdateStance,Triad_ID_127,0.3,0,0,2,0
Identity_Act_id_24,B-ID-53,UpdateStance,Triad_ID_128,0.3,0,0,2,0
Identity_Act_id_25,B-ID-43,UpdateStance,Triad_ID_25,0.3,0,0,2,0
Identity_Act_id_26,B-ID-43,UpdateStance,Triad_ID_26,-0.2,0,0,2,0
Identity_Act_id_27,B-ID-43,UpdateStance,Triad_ID_27,-0.2,0,0,2,0
