information_action_id~information_action_type~sending_agent_id~receiving_agent_id~information_packet_id~endorsed_agent_id~change_in_amplification~tick~simulation_id
InfoAct_id_43555~SEND~15min (15min.lt)~B-ID-18~IP-274~0~0~7~Sim4
InfoAct_id_43556~SEND~15min (15min.lt)~B-ID-18~IP-278~0~0~7~Sim4
InfoAct_id_43557~SEND~15min (15min.lt)~B-ID-18~IP-282~0~0~7~Sim4
InfoAct_id_43558~SEND~15min (15min.lt)~B-ID-18~IP-286~0~0~7~Sim4
InfoAct_id_43559~SEND~15min (15min.lt)~B-ID-18~IP-290~0~0~7~Sim4
InfoAct_id_43560~SEND~15min (15min.lt)~B-ID-18~IP-307~0~0~7~Sim4
InfoAct_id_43561~SEND~15min (15min.lt)~B-ID-18~IP-311~0~0~7~Sim4
InfoAct_id_43562~SEND~15min (15min.lt)~B-ID-18~IP-315~0~0~7~Sim4
InfoAct_id_43563~SEND~15min (15min.lt)~B-ID-18~IP-319~0~0~7~Sim4
InfoAct_id_43564~SEND~15min (15min.lt)~B-ID-18~IP-323~0~0~7~Sim4
InfoAct_id_43565~SEND~15min (15min.lt)~B-ID-18~IP-327~0~0~7~Sim4
InfoAct_id_43566~SEND~15min (15min.lt)~B-ID-18~IP-331~0~0~7~Sim4
InfoAct_id_43567~SEND~15min (15min.lt)~B-ID-18~IP-335~0~0~7~Sim4
InfoAct_id_43568~SEND~15min (15min.lt)~B-ID-18~IP-339~0~0~7~Sim4
InfoAct_id_43569~SEND~15min (15min.lt)~B-ID-23~IP-274~0~0~7~Sim4
InfoAct_id_43570~SEND~15min (15min.lt)~B-ID-23~IP-278~0~0~7~Sim4
InfoAct_id_43571~SEND~15min (15min.lt)~B-ID-23~IP-282~0~0~7~Sim4
InfoAct_id_43572~SEND~15min (15min.lt)~B-ID-23~IP-286~0~0~7~Sim4
InfoAct_id_43573~SEND~15min (15min.lt)~B-ID-23~IP-290~0~0~7~Sim4
InfoAct_id_43574~SEND~15min (15min.lt)~B-ID-23~IP-307~0~0~7~Sim4
InfoAct_id_43575~SEND~15min (15min.lt)~B-ID-23~IP-311~0~0~7~Sim4
InfoAct_id_43576~SEND~15min (15min.lt)~B-ID-23~IP-315~0~0~7~Sim4
InfoAct_id_43577~SEND~15min (15min.lt)~B-ID-23~IP-319~0~0~7~Sim4
InfoAct_id_43578~SEND~15min (15min.lt)~B-ID-23~IP-323~0~0~7~Sim4
